Vereador(a),Ano,Processo,Emenda,Objeto,Forma de Execução,Beneficiário,Diretoria,Valor da Emenda,Valor Empenhado,Valor Pago,Percentual do Valor empenhado pago,Situação,Observação
RONCALLIN,2026,00046.009594/2025-17,6/2026,Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS Capacitação de 500 servidores da FMS de Teresina em protocolos de humanização,INDIRETA,Associação Viva com Esperança,DAB,"R$ 1.507.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
SAMUEL ALENCAR,2026,00046.009603/2025-65,6/2026,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro",INDIRETA,Associação Piauiense Desenvolver – APD,DRCAA,"R$ 1.507.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
TERESINHA MEDEIROS,2025,00046.002537/2024-51,5/2025,Estruturação da Atenção Primária em Saúde (Equipamentos UBS),DIRETA,FMS,DAB,"R$ 500.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",Cotas orçamentárias não liberadas
TERESINHA MEDEIROS,2025,00046.002539/2024-94,7/2025,"Estruturação da Atenção Especializada em Saúde (Equipamentos HOSPITAIS, CAPS, UPAS)",DIRETA,FMS,DAE,"R$ 234.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",Cotas orçamentárias não liberadas
TERESINHA MEDEIROS,2025,00046.002540/2024-67,8/2025,Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS,INDIRETA,ASSOCIAÇÃO DESPORTIVA CLUBE 29 DE ABRIL ESPORTE CLUBE,DAB,"R$ 300.000,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,
TERESINHA MEDEIROS,2025,00046.002541/2024-40,9/2025,Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS,INDIRETA,ASSOCIAÇÃO DESPORTIVA CLUBE 29 DE ABRIL ESPORTE CLUBE,DAB,"R$ 300.000,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,
THANANDRA SARAPATINHAS,2025,00046.002529/2024-73,6/2025,Reforma e ampliação do Centro Cirúrgico HUT (limite 308m2),DIRETA,FMS,DAE,"R$ 278.800,06","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",
THANANDRA SARAPATINHAS,2025,00046.002531/2024-19,7/2025,Aquisição de Unidade Móvel de Consultório na Rua para atender a população em situação de vulnerabilidade pela FMS.,DIRETA,FMS,DAB,"R$ 420.904,58","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",
THANANDRA SARAPATINHAS,2025,00046.002532/2024-89,8/2025,Reforma de Unidade Básica de Saúde - UBS,DIRETA,FMS,DAB,"R$ 635.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",
VALDEMIR VIRGINO,2025,00046.002524/2024-14,5/2025,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro",DIRETA,FMS,DRCAA,"R$ 724.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",Objeto mudou em 12/12/2026
VALDEMIR VIRGINO,2025,00046.002523/2024-41,4/2025,Projeto Teresina Viva (00045.072269/2025-07),INDIRETA,Comunidade Terapêutica Hebron,DAB,"R$ 610.000,00","R$ 610.000,00","R$ 610.000,00","100,00%",Executada,Pago em sua totalidade. Aguardando prestação de contas. Aditivo não foi autorizado pela AJU. Projeto Teresina viva: 00045.072269/2025-07
VALDEMIR VIRGINO,2026,00046.009612/2025-16,8/2026,Incremento temporário MAC para Ações Qualitativas por Estabelecimentos Contratualizados/Conveniados. Projeto Visão Infantil e Saúde Integral: Diagnóstico Oftalmológico e Avaliações Multiprofissionais com Entrega de Óculos em Teresina/PI ZONA SUDESTE,INDIRETA,Clínica Batista Peggy Pemble,DAB,"R$ 1.168.000,00","R$ 0,00","R$ 0,00","0,00%",Em validação,No Conselho Municipal de Saúde de Teresina para análise da Habilitação da Organização.
VENANCIO,2025,00046.002512/2024-47,1/2025,Aquisição de veículo tipo passeio para apoio logístico (Estratégia Saúde da Família),DIRETA,FMS,DAB,"R$ 251.859,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada","Impossibilidade de aquisição dos referidos veículos, empresa COPAUTO COMÉRCIO PATOENSE DE AUTOMOTORES LTDA, fornecedora registrada na Ata de Registro de Preços nº 10001/2025, manifestou-se formalmente quanto à impossibilidade de fornecimento dos veículos."
VENANCIO,2025,00046.002518/2024-79,7/2025,"Realização de mutirões de exames para redução de fila de espera de regulação pela FMS: Endoscopia, Colonoscopia, Ultrassonografia e Ecocardiografia. PROJETO HORIZONTE SAUDÁVEL",INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DRCAA,"R$ 540.000,00","R$ 540.000,00","R$ 270.000,00","50,00%",Em execução,"1ª Parcela paga. Gestor emitiu Parecer Técnico da Prestação de Contas, mas NÃO LIBEROU 2ª PARCELA. Aguardando análise financeira/contábil, despesas antes da vigência do termo de Fomento. PROCESSO DE PRESTAÇÃO DE CONTAS: 00045.037033/2026-97 está na DRCAA para esclarecimentos."
VENANCIO,2025,00046.002517/2024-09,6/2025,"Realização de mutirões de exames para redução de fila de espera de regulação pela FMS: Endoscopia, Colonoscopia, Ultrassonografia e Ecocardiografia. PROJETO HORIZONTE SAUDÁVEL 2",INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DRCAA,"R$ 545.000,00","R$ 545.000,00","R$ 0,00","0,00%",Validada,Aguardando finalização da Emenda nº 7/2025 para que não ocorra sobreposição de objetos.
VENANCIO,2026,00046.009614/2025-59,1/2026,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro. PROJETO +VISÃO – MUTIRÃO DE OFTALMOLOGIA",INDIRETA,Associação Piauiense Desenvolver – APD,DRCAA,"R$ 501.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
VENANCIO,2026,00046.009615/2025-32,2/2026,"Realização de mutirões de consultas para redução de fila de espera de regulação pela FMS: Oftalmologia, Ortopedia e taumatologia, Cardiologia e Neuro. SAÚDE NOS BAIRROS",INDIRETA,Associação Piauiense Desenvolver – APD,DRCAA,"R$ 502.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
VENANCIO,2026,00046.009621/2025-64,8/2026,Projeto Trajetórias Vivas,INDIRETA,Associação Brasileira de Pesquisa e Tratamentos Multidisciplinares da Paralisia Cerebral - Instituto Rizo Movement,DRCAA,"R$ 504.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
VINÍCIO FERREIRA,2025,00046.002510/2024-04,1/2025,Reforma de Unidade Básica de Saúde - UBS,DIRETA,FMS,DAB,"R$ 635.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",
VINÍCIO FERREIRA,2025,00046.002511/2024-74,2/2025,Reforma de Unidade Básica de Saúde - UBS,DIRETA,FMS,DAB,"R$ 664.000,00","R$ 0,00","R$ 0,00","0,00%","Finalizada, não executada",
ZÉ FILHO,2026,00046.009622/2025-37,1/2026,"Implementação de AÇÕES de EDUCAÇÃO permanente no âmbito da assistência à saúde da FMS. Aperfeiçoamento em Enfermagem Integrada – Segurança, Urgência, Humanização, Saúde Digital e Inclusão PCD/TEA",INDIRETA,ASSOCIACÃO VIVA COM ESPERANÇA,DAB,"R$ 1.507.000,00","R$ 0,00","R$ 0,00","0,00%",Está na SEMPLAN,não foi enviada para a FMS.
ZÉ NETO,2026,00046.009629/2025-42,1/2026,"Realização de multirões de exames para redução de fila de espera de regulação pela FMS: Endoscopia, Colonoscopia, Ultrassonografia e Ecocardiografia t",DIRETA,FMS,DRCAA,"R$ 1.514.000,00","R$ 0,00","R$ 0,00","0,00%",Impedimento Técnico,Foi enviado Ofício para o vereador em 16/06/2026.
